title,company,location,modality,description
Senior Game Data Analyst,Tilting Point,"Barcelona, Catalonia, Spain",Hybrid,"
At Tilting Point, we combine data, technology, talent and groundbreaking marketing to scale games to success. As the Senior Game Data Analyst, you will work closely with game teams to help inform decision-making regarding features of the game, balancing, player interactions, finding hidden opportunities and much more.
Your Future at Tilting PointAnalyze large, complex datasets to address ad-hoc and long-term operational and strategic business questionsDraw meaningful conclusions and provide actionable insights from data to shape and influence in-game features, economies, and future product roadmapsOwn the taxonomy for game data, ensuring all key performance metrics are measurable and can be analyzed efficiently.Present analytical findings as both written communication and visual representations that are clear, concise, and understandable, to both technical and non-technical audiences.Build relationships with stakeholders and processes around data deliverables to ensure data driven decisions can be made at all levels across Tilting PointCollaborate with all teams at Tilting Point, driving and supporting data and analytics related projects with game team, User Acquisition, Marketing, Engineering, and more
Your XP & SkillsEffectively communicate in English across verbal and written form.University degree (BA or BS) in Analytics, Economics, Mathematics, Statistics, Business Management, Information Systems, Computer Science or a related field3+ years of work experience as a data analyst or scientist, supporting consumer-facing products, mobile app/game preferredProficient with SQL2+ years with Python/R a plusAdept in at least one visualization tool such as TableauFamiliarity with PySpark and/or Amplitude a plusPassionate about mobile/social gaming with a good understanding of the market.
 "
Data Analyst (Operations Team),Holaluz,"Barcelona, Catalonia, Spain",On-site,"
Description

¿Quiénes somos?

Somos Holaluz, la empresa que lleva una década revolucionando el sector energético. Nacimos para cambiar el mundo conectando a las personas con la energía verde 💡💚, y tú y el planeta sois nuestra motivación para ser como somos y hacer lo que hacemos.

Nuestra voluntad de hacer las cosas de un modo distinto, nos ha llevado a liderar la transformación del sector eléctrico y a ser la primera eléctrica en obtener el certificado BCorp.

¿Te sumas? Únete a la revolución.

¿Qué harás?

Formarás parte del Chapter de Data Analytics, con foco en el área de Operaciones.

¿Qué esperamos de ti?

Identificar las grandes necesidades de Data Analytics dentro del área de Operaciones y transformarlas en proyectos que impacten positivamente sus OKRs. Transformar los datos relativos a Operaciones y Customer Care en Insights accionables que mejoren la satisfacción de nuestras clientas y que hagan más eficiente el trabajo del equipo del área de Operaciones. También tendrás que comunicar toda la información crítica e insights a otros departamentos relevantes y a la empresa en general ya que Holaluz trabaja por y para el cliente.Mentorizar y dar soporte al resto de integrantes del equipo de Data Analytics que trabajan en el equipo de Customer Care y en Operaciones. El objetivo es ayudarles en su crecimiento profesionalRealizar la interlocución con todos los integrantes del área de Operaciones para asegurar que se cumplen los OKRs definidos y que también se atienden las necesidades surgidas del día a día. Deberás contribuir en la mejora contínua del área y para ello tendrás que empaparte de los procesos, la operativa y los retos para poder proponer mejorasParticipar activamente en la mejora continua del Chapter de Data Analytics: identificación de best practices, priorización de proyectos, puesta en marcha de modelos de Machine Learning, etc.Desarrollar una planificación clara y estructurada de los datos con el objetivo de identificar las oportunidades de mejora y conocer qué necesita el cliente externo e interno.Trabajar en la configuración de la infraestructura de datos de Operaciones que impacta en la gestión del cliente, incluidas las plataformas de análisis, almacenamiento y reporte de datos. Esta tarea la realizarás con el apoyo del Chapter de Data Analytics

Y como #SayThingsAsTheyAre es uno de nuestros valores, queremos ser claros y transparentes en explicarte qué harás durante tus primeros 6 meses en Holaluz.

En 1 mes...

Después del primer mes ya sabrás cómo está todo montado, te habrás empapado de la cultura y la visión, te habrás reunido con todos los equipos y sabrás qué es lo que hacen y qué necesitan.Empezarás a analizar las decisiones que han hecho los diferentes equipos y áreas para empezar a enfrentarte a tus primeros retos.También habrás ido a comer algún día con las personas del equipo, habrás asistido a algunas de las sesiones que hacemos con el objetivo de que fluya el conocimiento.

En 3 meses...

Seguro que ya habrás tomado muchas decisiones sobre cómo aportar en Operaciones y en el Chapter de Data Analytics. Estarás trabajando codo a codo con tus colegas, en otras palabras, habrás visto la LUZ.Habrás disfrutado de algún team building con el equipo y habrás tenido la oportunidad de hacer más de una presentación.

En 6 meses...

Tendrás (casi) todo bajo control y habrás contribuido en la madurez y crecimiento de tu equipo. Habrás aportado valor más allá de tu equipo compartiendo conocimiento, y haciendo valer toda tu experiencia para mejorar el área de Operaciones y el Chapter de Data Analytics.Además, habrás tenido varias reuniones con tu responsable para saber cómo te sientes en tus primeros meses con Holaluz.

¿Cómo lo harás?

Otro de nuestros valores es #KeepRowing o seguir remando, lo que significa que el trabajo en equipo y la alineación del mismo es fundamental para poder avanzar y hacer frente a nuestros objetivos compartidos.

En Holaluz hemos construido un sistema organizativo robusto y en constante iteración, que nos permite adaptarnos a los constantes cambios que demanda la industria y lograr el propósito que perseguimos. En Holaluz las reuniones y decisiones se toman de forma colaborativa, fluye el feedback 🤟 entre los diferentes equipos y se fomenta el apoyo entre personas.

¿Con quién lo harás?

#AlwaysPeopleFirst es también un valor muy importante en Holaluz, y para nosotros es clave tener un buen equipo de trabajo, por eso te explicamos que somos un equipo de unas 800 personas con un ambiente inmejorable, y con las que tendrás la oportunidad de trabajar en tu día a día 😁.

Además, trabajarás de la mano con Adrià y Víctor de tu equipo de Data y junto con tus stakeholders. ¿Sabías que nuestro Chapter de Analytics está compuesto por casi el 50% de talento femenino? ¡Te presentamos a dos compañeras!

👩🏾‍🎤 Marta 

Matemática, valenciana y gran aficionada al baloncesto. Es muy fan de hacer listas para todo y darle un toque de humor a cada reunión. Marta combina sus múltiples hobbies con su pasión por una visualización bien estructurada. Y a pesar de tener muchas reuniones, si le ofreces tomar un café mientras comentáis algún tema, aceptará sin dudarlo.

🦹🏻‍♀️ Èlia

Es la más joven del equipo pero desborda sabiduría. Èlia es una optimista incorregible con un don para encontrar el lado bueno de las cosas. En 5min te contagiará su buen rollo. A la catalana del equipo le encanta la escalada y siempre busca nuevos retos con unas ganas inagotables por aprender de otras áreas. El saber no ocupa lugar.

¿Dónde lo harás?Qué mejor lugar para hacerlo que en nuestras oficinas de Barcelona a sólo 200 metros del mar 🌊. Esta excepcional ubicación al lado de la playa es perfecta para hacer un break con chapuzón y poder poner en práctica otro de nuestros valores #HaveFun.

Requirements

¿Qué necesitamos?

Hemos pensado muy muy bien lo que buscamos y lo que de verdad importa:

Licenciatura en Ciencias Empresariales/Económicas, Matemáticas o Ingeniería.Más de 5 años de experiencia en el campo de Data Analytics, y solvencia en el uso de SQL y de PythonHabilidades analíticas de alto nivel y capacidad de traducir información en insights accionables y en informes concisos.Storytelling y capacidad de comunicar las conclusiones de tus análisis.Capacidad para trabajar eficazmente en equipo.Gran atención a los detalles.No hace falta que seas Shakespeare, pero sí que puedas comunicarte en Inglés.

Todo suma, así que si tienes alguna de estas cosas SUMA Y SIGUE:

Formación y experiencia en análisis de datos y en el uso de modelos de analítica avanzada y Machine Learning.Elaboración de dashboards.Conocimientos de PowerBI.

Requisitos deseables:

Orientación al Cliente.Capacidad para mantener relaciones interpersonales.Alta capacidad de implicación, dedicación y motivación.Elevada orientación a la consecución de objetivos y al cumplimiento de resultados.Excelente capacidad de análisis.

Benefits

¿Qué ofrecemos?

Otro de los valores que nos caracteriza en Holaluz es #EsPosible. Por ello, ofrecemos una serie de medidas para que puedas desarrollarte 360º y conseguir todo aquello que te propongas, tanto a nivel personal como profesional:

La mayor fuente de nuestra energía: ¡nuestra gente!

Únete a una empresa donde las personas son lo primero, con un ambiente de trabajo inmejorable y un gran talento donde realmente vivimos nuestros valores. Para ello ofrecemos una serie de ventajas y beneficios que te permitirán estar apoyado tanto a nivel personal como profesional.

SOSTENIBILIDAD

Únete a la primera empresa de servicios eléctricos con certificación B Corp de Europa, y actualmente #1 en el ranking mundial ESG para compañías eléctricas.Tarifa competitiva de movilidad sostenible con eCooltra. Se trata de bicicletas y patinetes eléctricos, para que puedas llegar a la oficina de forma rápida y económica, utilizando un transporte individual y ecológico. 

SALUD Y BIENESTAR

Seguro médico privado con Adeslas.Suscripción de gimnasio a Andjoy (Gympass).Fruta ecológica todos los días.Té y café en la oficina. 

EQUILIBRIO TRABAJO-VIDA

Régimen de Retribución Flexible en guardería, transporte y comida con Cobee.Tarifa Wifi competitiva con Unique.Creemos en la autonomía y la responsabilidad personal por lo que ofrecemos horarios de trabajo flexibles y la opción de trabajar de forma remota 6 días al mes (19 por trimestre).Referencias: obtén recompensas si contratamos a personas talentosas que tú nos recomiendes para que se unan a Holaluz.Parking - mejores tarifas en W Hotel.Como empresa certificada Baby Friendly: Guardería interna para ayudar a integrar vida y trabajo a las nuevas familias.""Casals"" (campamentos durante los largos meses de verano pero también en otras vacaciones). 

AUTODESARROLLO

Eventos de creación de equipos.Acceso a contenidos de formación.Biblioteca propia, con contenidos muy diversos.Clases de idiomas gratuitas en clases de inglés, castellano y catalán. 

”Celebramos la diversidad en el mundo y queremos que nuestro equipo refleje esto de manera inclusiva. En Holaluz, estamos comprometidos con la igualdad de oportunidades de empleo independientemente de la etnia, religión, sexo, origen nacional, orientación sexual, edad, estado civil, discapacidad, género, identidad o expresión de género. Además, nos esforzamos por empoderar a las mujeres en el lugar de trabajo.”
 "
Data Engineer,IOMED,"Barcelona, Catalonia, Spain",Hybrid,"
About the job
IOMED Data Engineering Team is responsible for building and maintaining optimized and highly available data pipelines that facilitate information extraction and transformation for our main products and internal applications. The core of your role will be designing, architecting, implementing, and testing data extraction and transformation tools in a microservices environment:
Data processing pipelinesData model transformationsComponents of a multi-modal distributed database.
You will collaborate with the rest of the Data Engineering team in analyzing and understanding data sources, participating in the design, and providing insights and guidance on database technology and data modeling best practices.
This role should work closely with the Business Development and Data Science teams, gathering technical requirements for data governance and data quality across the company.
About you
You will be working in a very dynamic environment, which means that you must have a strong problem-solving ability, organization skills, and be proactive.
In terms of personality, we are looking for someone who enjoys working in a wide range of areas and adapts quickly to new situations.
Tasks
You will have to feel comfortable giving support to the rest of the team and you can definitely expect to:
Query, model and deploy with PostgreSQL, Redis, RabbitMQ.ETL with SQL and PythonDesign, implement & test microservices.Integrate our products with external APIs.Development and testing of our core products and frameworks.Be comfortable with container development with Docker.Testing, logging, measuring and alerting of the deployed services.Monitor the existing metrics, analyze data, and collaborate with other teams in an effort to identify and implement a system and process improvements.Ensure that the collected data is of high quality and optimal for use across the team and the business at largeOversee activities of the junior data engineering teams, ensuring proper execution of their duties and alignment with business vision and objectives
What we are looking for
At least 8 years of working experience working in a data engineering department, preferably as a Data Engineer in a fast-paced environment and complex businessSetting and a demonstrated experience in building and maintaining reliable and scalable ETL.Experience in data warehousing inclusive of dimensional modeling concepts and demonstrate proficiency in programming (SQL and Python will be your main tools of the trade).Proven skills of putting microservices to use, and you’re comfortable with working with containers in a cluster architecture.Work well in a team, can teach & learn from others, and communicate what you’re working on with non-technical team members.

What we offer
Competitive Salary.Permanent contract.Company profit-sharing scheme valued at up to €15,000 per year.Flexible remuneration with restaurant tickets, transport tickets, nursery, training, and medical insurance.Flexible schedule, with the possibility of home office.28 days of vacations per year.A warm, transparent and supportive team, with a huge emphasis on work-life balance.The opportunity to make your mark in e-health and AI.
About IOMED 
IOMED is a leading technology start-up company in the field of massive medical data extraction and processing. It is made up of a united, young, dynamic, and flexible team, which, after several years of working together, is characterized by its agility, enjoyment of work, and rapport. Accordingly, we are looking for candidates with the desire to innovate, launch a relevant project, and grow with it, always enjoying teamwork and challenges, which are many, every day.
As an employer, we offer equal opportunity. We want to grow our team with talented, dynamic people who want to make their mark in the field of AI and research, regardless of race, color, religion, national origin, gender, physical disability, or age.
What we do 
Nowadays, there is still great difficulty in accessing Real-World Data (Real-World Data), which are those contained in Electronic Health Records (EHR), since up to 85% of the existing clinical data is not structured. This represents a loss of opportunity for the sector to improve its healthcare processes and clinical research.
IOMED has developed a Natural Language Processing solution that extracts and transforms clinical data into an international and federated model, OMOP CDM, resulting in a structured, standardized, and interoperable database that contains complete clinical information from hospitals.
In this way, professionals and the industry can make use of this data and obtain evidence based on all the data, Real World Evidence, that has essential value when it comes to making decisions, among others. All this, in addition, to assuring the protection and governance of the data at all times.
 "
Analista de Datos Junior,CGI,Spain,Remote,"
Somos una multinacional canadiense especializada en consultoría tecnológica, con presencia en 21 sectores en más de 400 ubicaciones en todo el mundo, proveemos servicios de consultoría de negocio y de TI integrales, escalables y sostenibles que están analizados globalmente y entregados localmente.
Estamos buscando un/a analista de datos (junior)  para impulsar nuestro equipo y realizar un trabajo de calidad del dato y realización de modelos de control para un cliente estratégico dentro de un gran proyecto.
Funciones:Realización de modelos de controlRealización de informes periódicosprocesos tácticosSoporte a aplicativo corporativo del clientecertificación de nuevos desarrollos
Requisitos deseados:SQLExcelVBA
Grupo CGI ofrece:
-Contratación indefinida-Horario flexible.-Proyectos estable de larga duración.-Pertenecer a un equipo de trabajo altamente cualificado en una empresa joven en proceso de expansión.-Trabajar en un ambiente de trabajo amigable, donde la estrecha relación con los managers y con RRHH facilita el espíritu emprendedor, el intercambio de ideas, la iniciativa y el desarrollo de las personas.-Formación en distintas tecnologías.-Desarrollo profesional.
Si tienes capacidad de trabajo y ganas de seguir aprendiendo en una empresa dinámica y en constante crecimiento... ¡Esta es tu oportunidad!
 "
Data Analyst,Olala Homes,"Barcelona, Catalonia, Spain",Hybrid,"
Olala Homes is a unique tech-enabled hospitality management company focusing on the short-term vacation rental segment through the ownership and management of over 400 units across multiple countries and cities. Olala Homes’ lean business model coupled with its real estate development expertise and topped with its strong team form a solid base for its ambitious future expansion plan across Spain, Europe, and beyond. The company’s HQ is located in Barcelona with satellite offices in Greece, Romania, Portugal, and Israel. Olala Homes is part of the Rina Group, a group of companies investing in Tourism & Hospitality, Industrial Minerals, Real Estate, and Agriculture across 3 continents.
Job Brief We are seeking a skilled and motivated Data Analyst to join our team in the hospitality industry. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting data to help drive informed decision-making and improve operational efficiency within our organization. Your expertise in data analysis and strong business acumen will play a crucial role in optimizing our operations, enhancing customer experiences, and identifying growth opportunities. This is an exciting opportunity for a talented individual to contribute to the success of our organization through data-driven insights.
Main responsibilities:Data Collection and Analysis: Gather data from various sources, including internal databases, customer feedback, and external data sets. Analyze and interpret this data to identify trends, patterns, and insights relevant to the hospitality industry.Performance Tracking: Develop and maintain performance metrics and dashboards to monitor key performance indicators (KPIs) across different aspects of our hospitality operations. Regularly evaluate and report on performance trends, providing actionable recommendations for improvement.Operational Efficiency: Identify areas of operational inefficiencies and collaborate with cross-functional teams to develop strategies and solutions. Utilize data analysis techniques to optimize processes, reduce costs, and enhance productivity within the organization.Customer Insights: Analyze customer feedback, preferences, and behavior to generate actionable insights that can be used to enhance customer experiences. Provide recommendations on how to improve customer satisfaction and loyalty based on data analysis.Data Visualization and Reporting: Create visually appealing and informative reports, charts, and presentations to effectively communicate complex data insights to both technical and non-technical stakeholders. Use data visualization tools and techniques to present findings in a clear and concise manner.Continuous Learning and Improvement: Stay updated with the latest data analysis techniques, tools, and industry trends. Proactively identify opportunities for process improvement and propose innovative solutions to enhance the effectiveness and efficiency of data analysis.
Requirements:Minimum 2 years of experience as a Data Analyst or Business Data AnalystBS in Mathematics, Economics, Computer Science, Information Management or StatisticsTechnical expertise regarding data models, database design development, data mining and segmentation techniques. Preferably within the hospitality industry.Excellent written and verbal communication skillsStrong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyAdvanced knowledge in Excel, SQL and PhytonFamiliarity with database management systems and data warehousing concepts.Experience in building reports for data visualization (ideally Power BI)Zendesk Knowledge is a big plusProfessional level of English 
If you are passionate about data analysis and its application to the hospitality industry, and if you thrive in a dynamic and results-oriented environment, we would love to hear from you. Join our team and contribute to shaping the future of our organization through data-driven decision-making.
What we offer:Competitive salary with other benefits such as employee discounts staying in Olala Homes’ properties, weekly fruit basket in the office, happy hour, etc.Opportunity to be mentored by experienced professionals and gain first-hand know-how in a swift pacePositive corporate culture to be proud to be a part of a fast growing company
 "
Data Manager,Hays,"Barcelona, Catalonia, Spain",Remote,"
Desde Hays Executive nos encontramos en búsqueda de un Data Manager para incorporarse en una destacada compañía internacional del sector Banca-Finanzas. Su principal objetivo será la ejecución local del plan estratégico a nivel grupo con el fin de lograr que el dato sea accesible, seguro, consistente, de alta calidad y trazable.Esta persona formará parte de una compañía multinacional con presencia global, con una estrategia clara y ambiciosa en temas analíticos y de datos. 
Responsabilidades de la posición:
· Liderar un equipo de trabajo conformado por tres áreas: Arquitectura, Business Inteligence y Data Science. El líder acompañará y desarrollará el talento de sus colaboradores y será el máximo responsable de la ejecución de proyectos, herramientas, estrategias y roadmap de tareas.· Orientación al cliente interno.· Desarrollo de acciones y proyectos cross functional.· Participación en proyectos de innovación y de mejora continua.· Facilitar la metodología para la correcta captación y explotación del dato.· Liderar el proceso de transformación en relación al dato.· Poner en marcha nuevas herramientas (ej. Gestor campañas)· Nexo entre el dato y las diferentes unidades de negocio de la Compañía. Será importante la comunicación y capacidad para comprender necesidades y luego traducirlas a los equipos de trabajo. 
Requisitos para encajar con el puesto:
Experiencia de 5 a 10 años en una función de gestión de datos de nivel superior.Experiencia en liderazgo de equipos de trabajo multidisciplinarios.Excelentes habilidades de comunicación, orientación a clientes y resultados y visión innovadora para proponer acciones y participar en proyectos globales retadores.Idiomas: Inglés avanzado Formación académica: Matemático o Estadístico/ Máster Big data o relacionado/ Conocimiento de lenguajes (SQL, Phyton, PHP, entre otros).
 "
Data Analyst,Popcarte,"Barcelona, Catalonia, Spain",Hybrid,"
À propos
Popcarte est une marque de jolies cartes et beaux faire-part à personnaliser en ligne.Créée en 2005 par Benoit Martin, Popcarte s’est donné la mission de rendre ses clients beaucoup, beaucoup plus heureux en leur proposant de la papeterie et des calendriers pour les petits comme pour les grands évènements de leur vie.
Que ce soit pour annoncer un mariage, une naissance, un anniversaire ou simplement faire un petit coucou, Popcarte place l’innovation et l’expérience client au cœur de ses préoccupations.
Personnalisés sur le site ou sur l'app, les cartes et faire-part Popcarte sont ensuite imprimés et expédiés en 24h.
Toute l'expérience Popcarte ne serait rien sans le talent, l'énergie et l'enthousiasme de la PopFamily, une Equipe au top !
Tous les membres de la Popfamily partagent - et c'est essentiel pour nous - les valeurs suivantes :Honnêteté et RespectCréativité, Ouverture et CuriositéEnthousiasmeImplication et Sens des responsabilitésVolonté de s'améliorer chaque jourSans jamais se prendre au sérieux
Descriptif du poste
Data Analyst (H/F) - Missions en français
En pleine phase de croissance, Popcarte met la Data au coeur de sa stratégie de développement. A la croisée de tous les métiers de la société (Produit, Offre, Marketing, Finance, IT, Opérations), la Data est aujourd’hui un levier clé et fondamental pour la prise de décisions business et l'optimisation du travail des équipes.
Popcarte recherche un(e) Data Analyst pour structurer, rendre accessible et analyser nos Données et asseoir notre démarche “Data Centric”’.
Au coeur de notre équipe, vous travaillerez avec l’ensemble de nos métiers sur les thématiques suivantes:
> Management de notre data warehouseAssurer le maintien de notre data warehouse et le faire évoluerEnrichir les données collectées, qualitativement et quantitativement
> Analyse et modélisationAccompagner les équipes dans la définition et l’automatisation de leurs tableaux de bords métiersRéalisation des analyses ad hoc en fonction des besoins des différents pôles (Marketing, Produit, Finance, Opérations, Service Client…) et émettre des recommandations en vue d’amélioration de l’expérience client interne et externeCréer de nouveaux processus liés à la donnée et fournir à nos équipes des rapports et alertes leur permettant de mieux réaliser leurs missionsParticiper à l’élaboration de projets de développement stratégiques sous tendus par des analyses fines et poussées de données. Réalisation de modélisations associées.Benchmark des Best Practices Data
> Structurer l’activité DataPromouvoir et accompagner en interne notre démarche data driven auprès des équipes opérationnellesMettre en place des process de pilotage et de suivi de l’activité.
Il s’agit donc d’un poste très complet car il est à la fois stratégique et opérationnel. C’est aussi un poste transverse qui vous amènera à vous coordonner avec toutes les équipes et qui vous demandera beaucoup de rigueur, de prise d’initiative et d’autonomie.
Nous vous proposonsUn contrat à durée indéterminéeDémarrage asapDes bureaux bien placés et agréables à Barcelone, Espagne (Calle Comte de Salvatierra, en plein centre, avec une jolie terrasse)Télétravail partiel possibleUne mission qui s’effectue en françaisUne rémunération attractive à définir en fonction de ton expérienceUne mutuelle fournieUn environnement de travail et une équipe résolument tournés vers l’amélioration continueUne vie sociale de l’équipe développée avec notamment nos drinks du vendredi et nos traditionnelles Summer & Winter Parties.
Profil recherchéFormation École d’Ingénieur / École de Commerce ou Master universitaire (Master Mathématiques Appliquées etc.)Minimum 3 ans d’expérience en tant que Data Analyst notamment sur la gestion d’un Datalake et en business intelligence. Une expérience de Data Scientist est un plus.Profil analytique, technique et dataMaîtrise d’Excel, SQL, de langages tels que R ou Python et d’outils type LookerStudio, BigQuery ou AirbyteRigueur, prise d’initiative, organisation et autonomiePersonne avec un sens business, aimant relever les défis et résoudre les problèmesBon communicant, synthétique et clairForte culture digitale et goût pour les nouvelles technologiesEnvie de développer une marque et de participer au fort développement de la société.
Process de recrutement
Envoyez-nous votre plus beau CV ainsi qu'une lettre de motivation.Si vous avez la bonne expérience et une furieuse envie d'écrire l'avenir de Popcarte avec nous, vous passerez 3 entretiens dont un avec Benoît notre CEO.
Au minimum l'un de ces entretiens se fera ""en live"" dans nos bureaux de Barcelone. Nous vous demanderons aussi de travailler sur un cas pratique.
Un grand merci et à très bientôt !
 "
Data Analyst,Proton | Privacy by Default,"Barcelona, Catalonia, Spain",Unknown,"
                A better internet, where privacy is the default, is possible. Building this better internet might seem daunting or even unthinkable, but at Proton, this is what we do every day.
Proton was founded in 2014 by a group of scientists who met at the European Organization for Nuclear Research (CERN). Our first product, Proton Mail, is now the world’s largest encrypted email service. Subsequent Proton products, such as Proton VPN, Proton Calendar, Proton Drive and Proton Pass give our users full control over how and with whom their data is shared.
Today, Proton makes privacy universally accessible. Journalists from outlets like The Guardian and The New York Times , some of the world’s largest organizations, and people in more than 180 countries have signed up for over 100 million accounts. Our diverse and dynamic team is made up of more than 400 members representing over 40 different nationalities. While we are based in Geneva, Switzerland, we have offices in Zurich, Prague, London, Vilnius, Skopje, Taipei, Paris, Barcelona and many more employees working remotely around the world.
Join one of Europe’s fastest-growing companies to help us solve challenging problems and build new products that will reach hundreds of millions of people. We want to create more than just one of the world’s most impactful tech companies; we want to create a new internet that serves the interests of all people. We need you, your voice, your ideas, and your ambition to make it happen.
Purpose of the role
We are looking for a talented data analyst to help us support data-driven decision-making across the company. You will be embedded within a business unit (Mail, VPN, Drive, Growth, etc) and will play a key role in understanding our customers, guiding the team in their decision-making, and driving the implementation of new features and growth initiatives. As part of the data team, you will also collaborate with data science and data engineering in improving our data platform.
What You Will Do
Lead colleagues to the right decision by using dataAssemble, clean, and manage large, complex datasets from different data sourcesApply tools and techniques for data analysis and visualizationRepresent and summarize data and findings in the most appropriate formatResearch new use cases for already existing data, and provide feedback on new data sources to be incorporatedCollaborate with the data science team in developing advanced analytics applications for the business unitShare findings and best practices for your business unit with analysts in other business units
Job Requirements
Bachelor's degree or higher in a quantitive (statistics, mathematics, physics, engineering, computer science, etc) or financial discipline.Strong analytical skillsExperience in business intelligence, product analytics, marketing KPIs, or web analyticsat least 3 years of relevant working experience in the fieldAdvanced knowledge of SQLGood knowledge of a BI tool, preferably TableauGood knowledge of Python is a plusOpen-minded, ready to test and implement new ideas
Why should you join Proton?
Be part of a movement - Proton is not just a product or service but a community-driven movement united by a shared vision of online freedom. Our services are open source, audited, and supported by community contributions. We give back to our community by maintaining core encryption libraries and by supporting other organizations furthering the same goals as us. Proton is free, open source, neutral, independent, and community first, while remaining financially sustainable.Work with smart and dedicated people - Our team is diverse, collaborative, and tight-knit with people coming from all walks of life, including many of the world’s top academic institutions and organizations, such as MIT, Harvard, Stanford, Caltech, Cambridge, and ETH.Join a strong brand - Our encrypted email service - Proton Mail - has grown to be a staple of online security and privacy. Proton has been featured in multiple popular television and film productions, such as Mr. Robot, Knives Out, Sounds of Metal, and more.Grow with us - We’re one of Europe’s fastest-growing startups, doubling in size every year. Our growth gives you limitless career and educational opportunities as well as the opportunity to work side-by-side with many world-leading experts in their fields.Have your voice heard - We value your opinion and encourage you to speak up and share your ideas and thoughts. At Proton, no problem is someone else’s problem. We collectively strive to do the right thing and be the undisputed best in the world at everything we do.Benefits – these vary by location and type of contract but expect support on your vacation, parental leave, refreshment if working from the office, learning and development opportunities, equity for shared success, flexible working hours and remote work, company events and team building activities.
Proton does not accept unsolicited resumes from any sources other than directly from a candidate. Proton will not pay a fee for any placement resulting from the receipt of an unsolicited offer, even in a situation when the relevant candidate is employed by Proton.
 "
CIENTÍFICO DE DATOS - IA,FACTOR ENERGIA,"Barcelona, Catalonia, Spain",Hybrid,"
Factorenergia es una empresa consolidada en el sector de la electricidad, el gas y las energías renovables con más de 230.000 clientes en España, Portugal, México, Bulgaria y Chile. Actualmente nos encontramos en la búsqueda de un Data Scientist para nuestras oficinas en Barcelona (Av. Diagonal y Francesc Macià).
Responsabilidades:
Análisis de datos: procesos de transformación, segmentación y análisis de datos.Identificar información valiosa a través de la gestión efectiva de los datos.Planificar y ejecutar varios proyectos de ciencia de datos según la demanda.Desarrollar algoritmos utilizando la herramienta LLM (como ChatGPT).
Requisitos:
Buscamos candidatos con título universitario en Ciencia de Datos u otras áreas relacionadas y amplia experiencia en aprendizaje automático. El candidato ideal debería tener experiencia en gestión de equipos (1-3 personas), excelentes habilidades analíticas, conocimientos de bases de datos SQL, lenguaje de programación Python, habilidades interpersonales, conocimientos de Git.
Habilidades técnicas:
Aprendizaje automáticoHerramientas LLM como ChatGPTSQL ServerGitPython
Ofrecemos:
Salario competitivo basado en habilidades y experiencia.Proyecto estable con oportunidades de crecimiento.Equipo de trabajo multidisciplinario y excelente ambiente laboral.Viernes intensivos todo el año hasta las 15 hs.Posibilidad de realizar modalidad de trabajo híbrido (casa-oficina); Superado el período de evaluación.Descuento especial en la Luz & Gas para trabajadores de Factorenergia.
 "
Data Engineer,Globant,"Barcelona, Catalonia, Spain",Hybrid,"
                We are a digitally native technology services company where innovation, design and engineering meet scale. We use some of the latest technologies in the digital and cognitive field to empower organizations in every aspect.
Right now, we’re looking for Data Engineers to join our team at Globant!
You will get the chance to:
Work with professionals who have created some of the most revolutionary solutions in their fields.Make an impact. Work in large-scale projects globally.Develop your career in our Studios. Each Studio represents deep pockets of expertise on the latest technologies and trends and delivers tailored solutions focused on specific challenges.Develop your career within an industry or multiple industries.Work in the city you want, and be nourished by cultural exchanges.Be empowered to choose your career path: we have more than 600 simultaneous projects, so you can choose where and how to work.Be part of an agile pod. Driven by a culture of self-regulated teamwork, each team -or POD- works directly with our customers with a full maturity path that evolves as they increase speed, quality and autonomy.

What would help you succeed:
Believe and love what you do.Enjoy solving problems.Have imagination and you love innovating.Being flexible & goal oriented.Advanced English skills.High performance analytics.Bachelor Degree in CV, Information Technology or related technical field.Experience with Java or Python.Practical experience in Azure.

At Globant we believe that an inclusive culture and a diverse environment makes us stronger. We encourage people to have an inclusive spirit as our global footprint expands. We seek to generate a place of inspiration and growth for everyone. A safe space, based on equity as a value, where everyone's careers can be promoted and developed in the same way. There is no innovation without diversity and there is no improvement without plurality.
Are you ready?
Job Segment:  Database, Developer, Java, Engineer, Equity, Technology, Engineering, Finance
 "
