title,company,location,time,url
Data Analyst,Coniq,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-at-coniq-3652827423?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=pqmIOrd2vCcogCR34no93A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Visualization Analyst,Experfy,Barcelona,Hace 3 meses,https://es.linkedin.com/jobs/view/data-visualization-analyst-at-experfy-3590307510?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=5S0PnSY%2FVx0qEGthaU%2B99A%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Exoticca,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/data-analyst-at-exoticca-3622172076?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=zLd6ruwEvhNGJfGoYPArRQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Sanofi,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-analyst-at-sanofi-3651426366?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=hCAWXWgih3DenibckofVNg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Birchman Group Spain,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/data-analyst-at-birchman-group-spain-3597191582?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=T%2F3oZPglyArlUN%2FqyOzb1A%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Tableau / PHARMA,Hays,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-analyst-tableau-pharma-at-hays-3647696075?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=2bXc9pSEIsTunN198UzNIg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - QA Tester,Experfy,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-qa-tester-at-experfy-3646112530?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=32UTh6cqPkvd7e9OjsgEyQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Analista Visualización de Datos,Hays,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/analista-visualizaci%C3%B3n-de-datos-at-hays-3652086149?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=IewWym1HIoAAbGHidImEwg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Proton | Privacy by Default,Barcelona,Hace 5 días,https://es.linkedin.com/jobs/view/data-analyst-at-proton-privacy-by-default-3655234899?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=EfLeMkfYQD6ytRVfHVYlBg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Optimissa,Cornellà de Llobregat,Hace 4 días,https://es.linkedin.com/jobs/view/data-analyst-at-optimissa-3655380382?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=MTjFDg28hHP98yk0Dj9Fqw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
