title,companies,location,modality,description
Data Analyst,ID Finance,"Barcelona, Catalonia, Spain",On-site,"
ROLE PURPOSETo collect, organize and interpret statistical information to transform to specific actions.You will also monitor performance and quality control plans to identify improvements.
PRIMARY RESPONSIBILITIESSQL querying and result visualizationData gathering and analysis, searching patternsStatistical analysis of portfolio performanceRisk KPIs monitoring and improvement actions preparationMonitoring and analysis of credit portfolio and credit process efficiencyReport’s creation and improvementAnalysis of external providers data to be included into statistical models.
Skills:SQL – strong knowledge neededData visualization packages (Tableau, Looker, BI etc.).High attention to detail.Good organisational/time management skills.Team player
Knowledge/Abilities:Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc.).Methodological way of working and ability to cope with competing demands and prioritize tasks accordingly.
PREFERRED QUALIFICATIONS AND EXPERIENCEDegree in Statistics or Mathematics or a related subject involving math’s, such as economics or data science.English - spoken and written.At least 1 year of experience as Data Analyst / Risk Data AnalystAbility to work independently and manage multiple priorities.Analytical and strategic mindset
BENEFITS:-Attractive compensations.-Health benefit.-Kitchen with free coffee and fruit each Monday, Wednesday and Friday.-Team building activities and work in an international and passionate environment.
 "
Data Specialist,Loyal Guru,"Barcelona, Catalonia, Spain",Hybrid,"
Loyal Guru is the leading Customer Data Platform for retailers to collect and activate their omnichannel customer data in a single view.This data can be used to create micro-segments based on purchase behavior and to launch hundreds of 1:1 personalized offers and loyalty programs, improving consumer-retailer relationships across every channel: point of sale, e-commerce, customer support, and emails.
Servicing 50 customers in 12 countries across the globe, Loyal Guru allows retailers to activate previously untapped data and customers, create personalized loyalty campaigns and offers that positively impact the customer, and identify new revenue streams for their customers and the brands they represent.
What your day will look like 🚀:
- You’ll be working and giving support to the Dev and the customer success teams.- Automate ad-hoc data process for the clients.- Manage ETL processes, collecting data from our clients and storing in our database.- You’ll help with the documentation of the process you follow.- Resolving technical issues.- Ensure data quality in all our processes.- Maintain data architecture with the supervision of our tech lead.
The experience you’ll need:
- 2-3 years of experience in Data Integrations.- Degree in Computer Engineering, Tech studies, or in any other related field.- Object-oriented programming languages (Python, Java, etc)- Advance level of SQL.- You have an analytic and resolutive mindset.- Previous experience in IT projects.- You have the technical knowledge and you understand how systems behave.- Previous experience working with REST APIs is desirable.- You speak Spanish and English fluently Who we are: we are so proud to be such a great team! ⭐️⭐️On top of being so talented, we are are energetic, engaging, humble and easy-going, with a can-do attitude and a collaborative mindset. If this is also you, we would love you to join us!What's in it for you?: Our people are our greatest asset! We are committed to fostering a unique workplace to develop your potential and we believe that culture, diversity & inclusion make a difference across our teams 💪🏻💪🏻Some of our benefits 😍: - 🏥 50% discount on private health care! - Flexible schedule. - Fridays short days. - Birthdays day-off 🥳 - Training budget 📚 📖 and free access to O'Reilly 📚 --> Explore your capabilities and keep on learning. - We are remote-friendly! 🌍 No matter your location what's important is your contribution. - 🏖 25 days of paid vacation 🏖  - English classes 🇬🇧🇬🇧 with a native teacher. - Gym discounts 🏋️‍♀️🤸 - Flex compensation with Cobee 💸💸- Team building activities 🎳🍻🍕
 "
Data Analyst,The Knot Worldwide,"Sant Cugat del Vallès, Catalonia, Spain",,"
Job Description
WHAT WE DO MATTERS:
Here at The Knot Worldwide, we believe in doing work that matters. In 15 countries around the world, our leading family of brands (The Knot, WeddingWire, Bodas, GigMasters, The Bump, How They Asked, Lasting, and more) inspire, inform, and celebrate our communities as they move through life’s milestones. From the proposal to creating a home, and starting a family together, we’re there for every step of the journey. Our couples and business partners depend on us. They're all in. So are we.
ABOUT THE ROLE:
This Data Analyst will work with different stakeholders at TKWW including Operations, Finance, HR and Local Sales. They will help their internal clients understand performance by developing analytical tools and performing ad-hoc analysis. They will be a valued partner and trusted advisor.
RESPONSIBILITIES:
Analyze TKWW client and user behavior and identify growth opportunities to drive acquisition and engagementCreate and manage reports and data assets in dashboarding tools like Qlik, Metabase, Google Sheets, Google Data Studio, Excel and develop presentations to keep the team apprised of key trendsCommunicate, collaborate and present results to clients within TKWWExplore novel ways to look at our dataAssist with development of metrics and goals
SUCCESSFUL DATA ANALYST CANDIDATES HAVE:
Background working within a team in a data-driven environmentSQL and database experienceExperience with Google Analytics and BigQueryFront-end Qlik, PowerBI or Tableau dashboard development2-3 years of hands-on data analytics or business intelligenceCommitment to timelines, accuracy, and professionalismAbility to work in a fast paced environment and shift gears quicklyExcellent communication and project management skillsYou have a Bachelor or Master's DegreeExperience with A/B testing is a plusProficiency with R or Python a plusExperience with financial modeling is a plus
At The Knot Worldwide, we believe you are more than a resume and invite you to go for it, take the leap of faith, and apply for this job if it sparks your passion to join TKWW and make a difference!
WHAT WE LOVE ABOUT YOU:
You deeply understand our users and clients and put them at the center of everything you do. You aim to serve and delight them every day.You are respectful and act with the highest integrity.You ask questions to understand a perspective and are comfortable respectfully challenging assumptions. You set clear ambitious goals. You anticipate obstacles, persevere, and are accountable for your commitments.You aren’t afraid to challenge the status quo and know that there’s no such thing as failure if you learn from it. You seek out feedback and never settle in your quest to grow and develop. By being here, you make our company stronger.
About Us
At The Knot Worldwide, we believe you are more than a resume and invite you to go for it, take the leap of faith, and apply for this job if it sparks your passion to join TKWW and make a difference!
WHAT WE LOVE ABOUT YOU:
 You Dream Big. You iterate and experiment to drive innovation.  You Love Our Users. You keep our global community at the center of everything you do.  You Do the Right Thing. You strengthen your team through respect, fairness, and inclusion.  You Hustle Every Day. You favor urgency and own your outcomes.  You Win Together. People are at the heart of our success and you play as a team. 
WHAT YOU LOVE ABOUT US:
We believe in a wide range of holistic offerings to support our employees so that they can live our values day in and day out. From mental wellbeing, physical health and financial planning, to engaging perks and discounts, we are in the business of celebrating and supporting the Moments that Matter both in and out of the “office”. We offer flexible vacation, generous parental leave and prioritize initiatives that support the growth, development, and happiness of our people.
TKWW’s approach to the future of work : We embrace a remote culture and empower our employees to work wherever they feel most productive. To facilitate in-person collaboration, we have office spaces in Austin, TX; Barcelona, Spain; Delhi, India; Galway, Ireland; Guangzhou, China; London, England; New York, NY; Norwalk, CT; Omaha, NE; Portland, OR; and Washington, D.C.
--
US Notice: The Knot Worldwide provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, or disability. In addition to federal law requirements, The Knot Worldwide complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. The Knot Worldwide expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status.
U.S. Applicants: If you are a resident of California, Colorado or New York City, please email statejobdescriptions@theknotww.com to request your state-specific job description. In the subject line, please add the specific job title of the role you are applying to. Please also be sure to specify your state of residence.
Organization
WHAT WE DO MATTERS:
Here at The Knot Worldwide, we believe in doing work that matters. In more than 16 countries around the world, The Knot Worldwide’s leading family of brands—including The Knot, WeddingWire, Bodas, The Bash, The Bump, and more—help people take celebration planning from inspiration to action. When you join our global team, you’ll be a part of a diverse group of individuals passionate about serving and enabling our communities to celebrate the moments that make us.
 "
BI Analyst,,,,
Data Scientist,ClearPeaks,"Barcelona, Catalonia, Spain",Hybrid,"
Are you passionate about Business Intelligence & Analytics? Would you like to be part of an innovative, talented, and solid company with constant growth? If the answer is yes, ClearPeaks is your home!
We offer our customers expert services focused in the Business Intelligence area based on the latest market-leading, enterprise BI technology platforms – moreover, services that are delivered by a team of extraordinary and committed consultants. Our trademark derives from our ability to efficiently deliver customer insight and value gained through years of real-world challenges at the highest quality levels.
As a Data Scientist, you will be responsible for identifying advanced analytics opportunities and implementing their solutions through data mining and machine learning. Also, deliver BI and advanced analytics solutions on Cloud by using big data technologies when appropriate. We are seeking a highly talented, self-motivated and customer-oriented candidate to join us.

ResponsibilitiesHands-on implementation of Machine Learning use cases such as customer segmentation for a loyalty program, propensity modelling to roll out marketing campaigns, time series forecasting for demand prediction and assortment optimization.Deploy, maintain, and monitor Machine Learning models with Dataiku. Design scenarios, schedule jobs to run batch models and APIs for real-time modelsPrepare and carry out presentations with the key business stakeholders involved in the projects to show the results of ML models to a non-technical audience and how they bring value to the business.Gather business requirements from business users and being able to technically implement them to meet the requirements.Defining business requirements, Document them, create wire frame, Communicate to Developers, Monitor Development, conduct internal testing and validate every KPI Numbers & Formulas.Understand all the data tables, columns, value and make sure of smooth using of itOwn and develop relationship with partners, working with them to optimize and enhance our integrationHelp design, document, and maintain system processesReport on common sources of technical issues or questions and make recommendations to product teamCommunicate key insights and findings to product teamRespond to Ad-Hoc business analysis and conduct Business analytics using SQL complex queries

Requirements
3+ years of prior experience in a Data Scientist roleOverall 6+ years of experience in implementing analytic solutions.Expertise in Python and any one of the associated frameworks (scikit-learn, Tensorflow, PyTorch, h2o, etc.) for ML and DLExpertise in the concepts of Statistics and Machine LearningKnowledge in ML-Ops (deployment of models, model performance monitoring, data drift, rest API integration, simulations, etc.)At least 3 Machine Learning project implementation experience in productionIntermediate knowledge of Deep Learning techniquesComfortable with Data Engineering skills (Azure or AWS)Good knowledge in SQLGood to have PowerBI knowledge (or any other visualization tool)Building workflows in DataikuExcellent communication and collaboration skills, able to explain complex effects and impacts of ML/DL insights in simple business terms.
Our offer to you!
Be part of an international and talented team, enjoying an excellent work environment where people are passionate about what they do.Possibility to grow inside the team25 vacation days
 "
Data Analyst,Olala Homes,"Barcelona, Catalonia, Spain",Hybrid,"
Olala Homes is a unique tech-enabled hospitality management company focusing on the short-term vacation rental segment through the ownership and management of over 400 units across multiple countries and cities. Olala Homes’ lean business model coupled with its real estate development expertise and topped with its strong team form a solid base for its ambitious future expansion plan across Spain, Europe, and beyond. The company’s HQ is located in Barcelona with satellite offices in Greece, Romania, Portugal, and Israel. Olala Homes is part of the Rina Group, a group of companies investing in Tourism & Hospitality, Industrial Minerals, Real Estate, and Agriculture across 3 continents.
Job Brief We are seeking a skilled and motivated Data Analyst to join our team in the hospitality industry. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting data to help drive informed decision-making and improve operational efficiency within our organization. Your expertise in data analysis and strong business acumen will play a crucial role in optimizing our operations, enhancing customer experiences, and identifying growth opportunities. This is an exciting opportunity for a talented individual to contribute to the success of our organization through data-driven insights.
Main responsibilities:Data Collection and Analysis: Gather data from various sources, including internal databases, customer feedback, and external data sets. Analyze and interpret this data to identify trends, patterns, and insights relevant to the hospitality industry.Performance Tracking: Develop and maintain performance metrics and dashboards to monitor key performance indicators (KPIs) across different aspects of our hospitality operations. Regularly evaluate and report on performance trends, providing actionable recommendations for improvement.Operational Efficiency: Identify areas of operational inefficiencies and collaborate with cross-functional teams to develop strategies and solutions. Utilize data analysis techniques to optimize processes, reduce costs, and enhance productivity within the organization.Customer Insights: Analyze customer feedback, preferences, and behavior to generate actionable insights that can be used to enhance customer experiences. Provide recommendations on how to improve customer satisfaction and loyalty based on data analysis.Data Visualization and Reporting: Create visually appealing and informative reports, charts, and presentations to effectively communicate complex data insights to both technical and non-technical stakeholders. Use data visualization tools and techniques to present findings in a clear and concise manner.Continuous Learning and Improvement: Stay updated with the latest data analysis techniques, tools, and industry trends. Proactively identify opportunities for process improvement and propose innovative solutions to enhance the effectiveness and efficiency of data analysis.
Requirements:Minimum 2 years of experience as a Data Analyst or Business Data AnalystBS in Mathematics, Economics, Computer Science, Information Management or StatisticsTechnical expertise regarding data models, database design development, data mining and segmentation techniques. Preferably within the hospitality industry.Excellent written and verbal communication skillsStrong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyAdvanced knowledge in Excel, SQL and PhytonFamiliarity with database management systems and data warehousing concepts.Experience in building reports for data visualization (ideally Power BI)Zendesk Knowledge is a big plusProfessional level of English 
If you are passionate about data analysis and its application to the hospitality industry, and if you thrive in a dynamic and results-oriented environment, we would love to hear from you. Join our team and contribute to shaping the future of our organization through data-driven decision-making.
What we offer:Competitive salary with other benefits such as employee discounts staying in Olala Homes’ properties, weekly fruit basket in the office, happy hour, etc.Opportunity to be mentored by experienced professionals and gain first-hand know-how in a swift pacePositive corporate culture to be proud to be a part of a fast growing company
 "
Data Engineer,Scalapay,"Barcelona, Catalonia, Spain",Hybrid,"
                Thanks to our innovative BuyNow PayLater payment solution, Scalapay is transforming the way more than 3.5 million customers buy online and in-store, empowering 5,000+ merchants to give their customers magical shopping experiences.
Being only 3 years old didn’t stop us from becoming a unicorn 🦄 We have raised over $700mln and we did this thanks to a team built around our 4 core values: #createmagic #staycurious #beimpactful #playasateam.
This is where your magic happens. If you love it, Scalapay it ♥
THE MISSION
Data-driven decisions are the centre of our efforts to automate processes and support decisions across the business.
As Data Engineer, your role will focus on developing distributed software for large-scale heterogeneous data processing, the development of ETL and reverse ETL pipeline.
You will be responsible for:
 Data modelling Data lineage Data quality / Data observability SLA, performance and scalability
You’ll be required to discuss requirements for data access and integrations with colleagues across the business, design solutions to the company’s problems and implement these using modern software processes in the cloud.
The role gives a large amount of autonomy and the chance to work with a top-notch team of experienced data experts.
Who we are looking for: 
 Strong Python and SQL experience Experience building and deploying ETL pipelines Experience with API integration Ability to scope projects and decompose work into tasks Familiarity with Linux-like development stacks, including Git, Kubernetes, etc Familiarity with AWS infrastructure (such as S3, Athena, Glue, etc) Knowledge of Data Modeling / Data Observability is a plus Ability to engage with colleagues on business processes A Bachelor's degree in computer science or a related field
Why you should join Scalapay:
 Attractive packages based on skills and experience International environment with significant challenges to be met every day Lots of opportunities to work with a team of industry tech leaders who are focused on delivering products that offer exceptional user experiences Personalised support to accelerate your professional growth and take ownership of the products you deliver: we want to help you grow! Latest technologies and being encouraged to bring your flair to the role
Recruitment Process:
 A quick chat with one of our Talent Acquisition team members The first interview with the Hiring Manager to deep dive into your experiences and better understand your motivation A case study to test your hard skills A Meet The Team session where you’ll get to meet different people at Scalapay and see if you’ll fit into our culture
_________________________________________________________________________
Want to learn more? Don't hesitate to explore our Careers website and Careers website, and our LinkedIn, WTTJ, Meritocracy and Glassdoor pages.
Pro tip: send your CV in English 😉
Super Pro tip: we know that application processes can be scary and frustrating but… we look for talent, not people that tick all our boxes.
We believe in the power of diversity: Scalapay is an Equal Opportunity Employer for any minority, disability, gender identity or sexual orientation.
 "
Data Scientist,Deporvillage.com,Greater Barcelona Metropolitan Area,Remote,"
Deporvillage is one of the biggest european e-commerce companies that is a market leader in its sector.We are handling millions of page views and thousands of orders per day, for this reason, we have to be smart with data and build the best recommendation systems for our customers.
If you want to be part of a team which is using dynamic methodologies, with cutting edge technologies and a collaborative sense, then this job is made for you!
At Deporvillage, You WillImplement, test and apply predictive algorithms by using machine learning and statistical models which will help Deporvillage to create customizable content.Create forecasting models and recommender designs.Be the first engineer within our data science team. For this reason we expect you to advocate new data lake architecture, create best practises and standards.Interact with cross-functional teams such as engineering, infrastructure, product, marketing among others. Use Agile methodologies oriented towards quarter OKRs.Be our data-driven hero!
What we expect you to bring+3 years experience as a data scientist/analyst engineer, specially in a e-commerce industryExperience with statistical software such as R or Python for data mining, manipulation and performing exploratory analysis.Ability to write advanced queries in SQL.Strong knowledge of data structures.Having a working knowledge of Big Data technologies such as Spark or Redshift.Experience in A/B testing.Hands-on experience with cloud platforms mindsets, ideally AWS and orchestrate resources via Terraform.Solid engineering workflows, such as CI/CD. Test, automate and monitor everything! Ownership and commitment words are mandatory for us.Eager to learn, improve methodologies and adopt new technologies. Empathy and team player is a must

What We OfferData to ingest and modelingModern tech stack that leverages AWS, Kubernetes, Docker, MongoDB, Elasticsearch, GoLang and so onA young and dynamic working environmentThe opportunity to be part of a successful e-commerce company with above-industry-average growth. Financial Times top 500 growing companies in EuropeCompetitive salary based on experiencePermanent contractFlat hierarchy and open communicationFlexible working hoursTax-free benefits (ticket restaurant, kindergarten and transport)
 "
Data Specialist at Voxel,join.com,"Barcelona, Catalonia, Spain",Hybrid,"
                ¿Estas abierto a nuevos retos profesionales?¿Te apasiona el mundo de los datos?💥 Sigue leyendo, ¡porque esto te interesa!
Somos Voxel, una empresa líder mundial en el sector Turismo & Horeca que ofrecemos soluciones en facturación electrónica, pagos electrónicos y digitalización de la cadena de suministro. 💰
Estamos buscando a un Data Integration Specialist, donde te unirás a nuestro equipo de Community y ofrecerás soporte a nuestros clientes para que sus datos estén actualizados y puedan operar en la nuestra red (Bavel) enviando y recibiendo todo tipo de transacciones electrónicas como: pedidos, albaranes, facturas, pagos, transferencias bancarias garantizadas, etc. Ayudarás también a que nuestros clientes obtengan el mayor beneficio de los servicios que les ofrecemos.
Tareas
Ayudar a nuestros clientes a que sus datos estén actualizados para que puedan hacer uso de los servicios contratados garantizando la calidad de los mismos.Mantener la base de datos actualizada en nuestra plataforma (Bavel) e intranet.Gestionar las peticiones y los cambios operativos de nuestros clientes en nuestras bases de datos y plataformas y asegurarte de la correcta implementación con el objetivo de garantizar el correcto funcionamiento.Mantener la comunicación con nuestros clientes tanto internos como externos.

Requisitos
CFGS en Administración, Informática o similar2 años de experiencia previa en soporte técnico o perfil administrativo en resolución de incidencias (especialmente si vienes del sector turístico, travel, pedidos o compras)Nivel avanzado de inglés, castellano y catalánQué tengas buenas dotes de comunicación, sentido común, mente analítica, pasión por la atención al cliente y seas resolutivo y proactivo.Alto dominio Excel

Beneficios
Contrato indefinidoSomos remote friendly!Flexibilidad HorariaSeguro Médico27 días de vacacionesPlan de Remuneración flexibleClases de idiomasAndjoy - GympassClases de Yoga y Core en nuestras oficinasServicio de FisioterapiaLife Coaching & servicio psicologiaReferral ProgramCafé, Fruta & Snacks en nuestras oficinas.y muchos más!

🤩¿Nuestros Valores?
#ChallengeManiacs #Fun-tasticTeamPlayers #PeopleFreaks #Changelovers
¿Quieres saber más?
Inscríbete y conozcámonos! 💪
 "
Graduate Data Analyst,HP,"Sant Cugat del Vallès, Catalonia, Spain",Hybrid,"
About HP & RPB

HP is the world’s leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives.

The HP Replacement Parts Business (RPB) is part of Customer Support organization, and our mission is to support the Right-To-Repair movement by removing the barriers denying consumers the ability to maintain, repair and upgrade their HP Print and PC products.

Job Role

As RPB Business intelligence & Data analyst you will shape RPB’s future with how we market our products. We are a very dynamic, highly skilled, and diverse global team consisting of engineers, project managers, and product owners, among other roles. Working with us you will combine your analytical and coding skills to enable RPB business growth.

The ideal candidate has strong data analysis and business acumen, but more important, it is a self-starter with the ability to build reports from scratch and provide data analysis and business insights to key stakeholders.

Job Responsibilities
In accordance with plan and team guidance, performs/executes data collection, analysis procedures and data insight visualizations for assigned projects.Leverage data analytics techniques and visualization tools like Excel and PowerBI to reconcile, analyze and transform raw data into meaningful insights.Assures accuracy, integrity, and compliance of cleansed data.Analyze and work on improvement plans with the business/users.Present the results and recommendations to the project team and contribute to the action plan for improvements.Develop and implement frameworks and processes to make your analyses and algorithms easily replicable, scalable, and automated.
About You
You are interested in making a career in a multicultural company within a business in massive expansion.You are interested in customer and market behavior and methods to measure and anticipate it.You are a data driven person, with a passion to identify patterns in the data, identify the root cause, and propose solutions.You are passionate about coding, simplifying the complex, automation and making processes more efficient.You are not afraid of having visibility to internal customers and meeting their expectations.
Required Skills
Extensive knowledge of PowerBI & DAX is required as well as MS Excel. SQL Server is desirable. It is also preferable to be familiar with data warehousing, data mining, and data mapping.Programming/automation orientation.High attention to details.Excellent analytical thinking, analysis, and problem-solving skills.Strong verbal and written communication skills.Organized, structured and good housekeeping skill when handing data.Teamwork collaboration but able to work independently.
Education And Experience Required
Bachelor's degree in information system, engineering, or equivalent experience.Less than 3 months extracurricular experience.Excellent English skills, written and spoken.
About HP

You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.

So are we. We love taking on tough challenges, disrupting the status quo, and creating what’s next. We’re in search of talented people who are inspired by big challenges, driven to learn and grow, and dedicated to making a meaningful difference.

HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.

Our history: HP’s commitment to diversity, equity and inclusion – it's just who we are.

From the boardroom to factory floor, we create a culture where everyone is respected and where people can be themselves, while being a part of something bigger than themselves. We celebrate the notion that you can belong at HP and bring your authentic self to work each and every day. When you do that, you’re more innovative and that helps grow our bottom line. Come to HP and thrive!

 "
