company,location,modality,position,seniority,ab,agile,ai,algorithm,analytical skill,automation,aws,azure,big data,business analyst,business intelligence,communication,creativity,curiosity,dashboard,data mining,decision making,deep learning,empathetic,etl,excel,git,knime,kpi,leadership,looker,machine learning,management,matlab,modeling,motivation,natural language,optimization,power bi,prediction,presentation,proactive,problem solving,programming,python,qlik,r,reporting,research,segmentation,sql,tableau,team work,visualization
Tilting Point,"Barcelona, Catalonia, Spain",Hybrid,data analyst,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017846879792933586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017412576742006643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012703429931280662,0.0,0.01982397661468806,0.0,0.0,0.0,0.013638918522298659,0.022107594360400117,0.0,0.02049097659586883
Holaluz,"Barcelona, Catalonia, Spain",On-site,data analyst,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004765653030494661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008292564537834128,0.0,0.0,0.0,0.0,0.0,0.0,0.005004627535967303,0.0,0.0,0.0,0.0,0.0,0.0027675622042575864,0.0,0.0,0.0,0.0,0.0,0.002971367230224663,0.0,0.0,0.0
IOMED,"Barcelona, Catalonia, Spain",Hybrid,data engineer,junior,0.0,0.0,0.02894679853701949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025578428954910904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222978380113843,0.0,0.02414169195795678,0.0,0.0,0.0,0.0,0.016665187267062356,0.0,0.013071341771276633,0.01461940977588036,0.0,0.0,0.0,0.027534401578776214,0.0,0.023543988496328976,0.0,0.0,0.0
CGI,Spain,Remote,data analyst,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olala Homes,"Barcelona, Catalonia, Spain",Hybrid,data analyst,junior,0.0,0.0,0.0,0.0,0.022595752838647756,0.0,0.0,0.0,0.0,0.0,0.0,0.010997909892078668,0.0,0.0,0.013480123899891353,0.020068045745206244,0.0,0.0,0.0,0.0,0.017549408083182443,0.0,0.0,0.01686618820386021,0.0,0.0,0.0,0.04292110491455618,0.0,0.0,0.0,0.0,0.0,0.014156087072634565,0.0,0.01866986514262993,0.0,0.0,0.0,0.0,0.0,0.0,0.040020805292986385,0.0,0.022961289903731818,0.008404807936961353,0.0,0.0,0.03788190151165046
Popcarte,"Barcelona, Catalonia, Spain",Hybrid,data analyst,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007146627497378736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007604561694739343,0.0,0.0,0.0,0.0,0.007422679973574047,0.0,0.004649675202463199,0.0,0.0,0.010710861485604276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033921931264319903,0.0,0.0052935905951908575,0.0,0.0,0.0,0.0036419963674049487,0.0059033843644568885,0.0,0.0
Proton | Privacy by Default,"Barcelona, Catalonia, Spain",Unknown,data analyst,senior,0.0,0.0,0.0,0.0,0.01745927316287759,0.0,0.0,0.0,0.0,0.0,0.012743501534823932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013032156492880184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006048785714515095,0.0,0.0,0.0,0.022784735838269374,0.0,0.0,0.010526613810039071,0.0,0.009756855209973932
Globant,"Barcelona, Catalonia, Spain",Hybrid,data engineer,unknown,0.0,0.020774650562854918,0.0,0.0,0.0,0.0,0.0,0.023625801928582782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012316978814292823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quotacom,"Barcelona, Catalonia, Spain",Hybrid,data analyst,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010578610944881231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016100728836879755,0.0,0.011281031624232564,0.03096354270977545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hays,"Barcelona, Catalonia, Spain",Hybrid,data analyst,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02038350209023405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0632019386795305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012508168232259066,0.0,0.0,0.0
