title,company,location,time,url
Data Analyst,Exoticca,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/data-analyst-at-exoticca-3622172076?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=vzc7hXRuY8DFO0xPl1w3VA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Analytics Engineer,Exoticca,Barcelona,Hace 3 semanas,https://es.linkedin.com/jobs/view/junior-analytics-engineer-at-exoticca-3639804168?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=phIZh9cQkX3DN3o2aBYXMg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,HP,Sant Cugat del Vallès,Hace 7 horas,https://es.linkedin.com/jobs/view/data-analyst-at-hp-3640509986?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=0aZgKcRkBcodBrlOKn%2BrHA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Analytics Engineer,Exoticca,Barcelona,Hace 3 meses,https://es.linkedin.com/jobs/view/analytics-engineer-at-exoticca-3589772523?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=ybpEyHqDSslfD%2BTK85JFOA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Scientist (Andorra),Gauss & Neumann,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-scientist-andorra-at-gauss-neumann-3630034564?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=5b9yTWeCBdkZ3xGcPukOoQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Sunhero,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-analyst-at-sunhero-3645233332?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=U79hkN62ED79rchfWWSS3w%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Optimissa,Cornellà de Llobregat,Hace 5 días,https://es.linkedin.com/jobs/view/data-analyst-at-optimissa-3655380382?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=ijB2PMsg03hW01FZZAY6Zg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Coniq,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-at-coniq-3652827423?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=72E5YZmndYj8W6%2FWiR535A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,TravelPerk,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/senior-data-analyst-at-travelperk-3612708323?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=xTHZ47gft5SALU84MbNzrw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Sanofi,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-analyst-at-sanofi-3651426366?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=0wgSIewE7bi7VtPShXYW%2FA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst (Growth),Exoticca,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/business-analyst-growth-at-exoticca-3607798735?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=gxtizWdcRiHXcTqnr1BRPg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Sales Intelligence Senior Analyst,MongoDB,Barcelona,Hace 6 horas,https://es.linkedin.com/jobs/view/sales-intelligence-senior-analyst-at-mongodb-3639858058?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=mzNBb8bySbp0T7dRT2CYHQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Scientist,Hubtype,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-scientist-at-hubtype-3644265009?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=LNXpPSIyDvmoiiJ%2B4QvUag%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
